event,horizon,target_ts,reason,bar_ts,age_seconds,p,bid,ask,spread,trade_p,contracts_last_hour,active_minutes_last_hour
KXNBAGAME-26FEB24DALBKN,5m,1771979100,included,1771979100.0,0.0,0.46499999999999997,0.46,0.47,0.009999999999999953,0.46,41169.0,59.0
KXNBAGAME-26FEB24NYKCLE,24h,1771893000,included,1771893000.0,0.0,0.605,0.6,0.61,0.010000000000000009,,821.0,26.0
KXNBAGAME-26FEB24NYKCLE,6h,1771957800,included,1771957800.0,0.0,0.605,0.6,0.61,0.010000000000000009,0.61,43932.0,56.0
KXNBAGAME-26FEB24NYKCLE,1h,1771975800,included,1771975800.0,0.0,0.605,0.6,0.61,0.010000000000000009,0.61,48630.0,60.0
KXNBAGAME-26FEB24NYKCLE,5m,1771979100,included,1771979100.0,0.0,0.605,0.6,0.61,0.010000000000000009,0.61,89982.0,60.0
KXNBAGAME-26FEB24OKCTOR,24h,1771893000,included,1771892880.0,120.0,0.49,0.48,0.5,0.020000000000000018,,337.0,15.0
KXNBAGAME-26FEB24OKCTOR,6h,1771957800,included,1771957800.0,0.0,0.525,0.52,0.53,0.010000000000000009,0.52,61020.0,54.0
KXNBAGAME-26FEB24OKCTOR,1h,1771975800,included,1771975800.0,0.0,0.565,0.56,0.57,0.009999999999999898,0.56,49311.0,60.0
KXNBAGAME-26FEB24OKCTOR,5m,1771979100,included,1771979100.0,0.0,0.505,0.5,0.51,0.010000000000000009,0.51,253855.0,60.0
KXNBAGAME-26FEB24WASATL,24h,1771893000,bar_too_old,,360.0,,,,,,,
KXNBAGAME-26FEB24WASATL,6h,1771957800,included,1771957800.0,0.0,0.86,0.85,0.87,0.020000000000000018,0.87,2207.0,30.0
KXNBAGAME-26FEB24WASATL,1h,1771975800,included,1771975800.0,0.0,0.855,0.85,0.86,0.010000000000000009,0.86,5385.0,43.0
KXNBAGAME-26FEB24WASATL,5m,1771979100,included,1771979100.0,0.0,0.855,0.85,0.86,0.010000000000000009,0.86,15686.0,51.0
KXNBAGAME-26FEB24CHACHI,24h,1771894800,included,1771894740.0,60.0,0.28500000000000003,0.28,0.29,0.009999999999999953,0.28,674.0,15.0
KXNBAGAME-26FEB24CHACHI,6h,1771959600,included,1771959600.0,0.0,0.255,0.25,0.26,0.010000000000000009,0.26,5529.0,39.0
